,ID,centroid_x,centroid_y,xmin,ymin,xmax,ymax,area,bbox_area,convex_area,filled_area,eccentricity,equivalent_diameter,orientation,perimeter,solidity,D__weighted_centroid_x,D__weighted_centroid_y,D__Sum,D__Mean,D__Max,D__Area,D__Variance,D__Entropy,D__Skew,D__Centroid_Shift,D__AreaPerc,H__weighted_centroid_x,H__weighted_centroid_y,H__Sum,H__Mean,H__Max,H__Area,H__Variance,H__Entropy,H__Skew,H__Centroid_Shift,H__AreaPerc,DPH__weighted_centroid_x,DPH__weighted_centroid_y,DPH__Sum,DPH__Mean,DPH__Max,DPH__Area,DPH__Variance,DPH__Entropy,DPH__Skew,DPH__Centroid_Shift,DPH__AreaPerc,score,class
12,13,102,448,89,436,118,460,558,696,568,558,0.6357580171611585,26.654599339742866,0.3545800721275372,87.35533905932738,0.9823943661971831,102.95152844754435,448.2011714303454,96634,173.17921146953404,255,558,0.6879323733710481,6.220817712832787,-0.19506664788654965,0.49212126691513547,1.0,102.95152844754435,448.2011714303454,96634,173.17921146953404,255,558,0.6879323733710481,6.220817712832787,-0.19506664788654965,0.49212126691513547,1.0,102.95152844754435,448.2011714303454,96634,173.17921146953404,255,558,0.6879323733710481,6.220817712832787,-0.19506664788654965,0.49212126691513547,1.0,0.997414231300354,1
13,14,395,354,385,337,407,371,564,748,583,564,0.7926552013251349,26.797520467958073,-1.5657084022658503,90.42640687119285,0.967409948542024,395.386119803308,354.246007233714,98428,174.5177304964539,255,564,0.7851558480589513,6.203240522103981,-0.0714696158312952,0.1981516018240341,1.0,395.386119803308,354.246007233714,98428,174.5177304964539,255,564,0.7851558480589513,6.203240522103981,-0.0714696158312952,0.1981516018240341,1.0,395.386119803308,354.246007233714,98428,174.5177304964539,255,564,0.7851558480589513,6.203240522103981,-0.0714696158312952,0.1981516018240341,1.0,0.9971189498901367,1
14,15,478,65,466,55,491,77,447,550,456,447,0.4602499118069448,23.85661494212072,-0.27827732844193687,75.94112549695429,0.9802631578947368,478.19131619562074,65.17337465033279,82936,185.53914988814319,255,447,0.6504565900039339,6.013863238840813,-0.3273362639024266,0.1991600825785609,1.0,478.19131619562074,65.17337465033279,82936,185.53914988814319,255,447,0.6504565900039339,6.013863238840813,-0.3273362639024266,0.1991600825785609,1.0,478.19131619562074,65.17337465033279,82936,185.53914988814319,255,447,0.6504565900039339,6.013863238840813,-0.3273362639024266,0.1991600825785609,1.0,0.9969508647918701,1
15,16,355,490,343,471,370,509,879,1026,901,879,0.7091384906790515,33.454111254406506,1.400468159275189,113.59797974644667,0.9755826859045506,355.7655445206454,490.7901880993711,105423,119.93515358361775,243,879,0.5214906725633986,6.732681910055377,-0.5745383333759801,0.40230684884846807,1.0,355.7655445206454,490.7901880993711,105423,119.93515358361775,243,879,0.5214906725633986,6.732681910055377,-0.5745383333759801,0.40230684884846807,1.0,355.7655445206454,490.7901880993711,105423,119.93515358361775,243,879,0.5214906725633986,6.732681910055377,-0.5745383333759801,0.40230684884846807,1.0,0.9969393014907837,1
16,17,324,228,310,206,341,250,1078,1364,1095,1078,0.7563850805352896,37.04797199880859,1.3238800895488716,124.91168824543142,0.9844748858447488,324.80272659732543,228.597823179792,134600,124.860853432282,255,1078,0.6457544450830002,6.9154889946764415,-0.3720197319793333,0.301003110909747,1.0,324.80272659732543,228.597823179792,134600,124.860853432282,255,1078,0.6457544450830002,6.9154889946764415,-0.3720197319793333,0.301003110909747,1.0,324.80272659732543,228.597823179792,134600,124.860853432282,255,1078,0.6457544450830002,6.9154889946764415,-0.3720197319793333,0.301003110909747,1.0,0.9968041181564331,1
17,18,27,406,16,394,41,418,463,600,488,463,0.5405761959719974,24.279825147895533,0.828913170387897,82.18376618407356,0.9487704918032787,27.543360662665876,405.8214119685572,94648,204.42332613390928,255,463,0.6744261828065411,6.058865690731445,-0.5143250391095154,0.5766084743436496,1.0,27.543360662665876,405.8214119685572,94648,204.42332613390928,255,463,0.6744261828065411,6.058865690731445,-0.5143250391095154,0.5766084743436496,1.0,27.543360662665876,405.8214119685572,94648,204.42332613390928,255,463,0.6744261828065411,6.058865690731445,-0.5143250391095154,0.5766084743436496,1.0,0.9961995482444763,1
18,19,71,297,60,279,83,317,689,874,709,689,0.7902988016897087,29.618609797263055,-1.4948845490662142,101.01219330881975,0.9717912552891397,71.6130450458833,297.83841403133323,85979,124.78809869375907,255,689,0.7831600575189284,6.382136570324766,0.1806001754924938,0.7035175241955,1.0,71.6130450458833,297.83841403133323,85979,124.78809869375907,255,689,0.7831600575189284,6.382136570324766,0.1806001754924938,0.7035175241955,1.0,71.6130450458833,297.83841403133323,85979,124.78809869375907,255,689,0.7831600575189284,6.382136570324766,0.1806001754924938,0.7035175241955,1.0,0.9960162043571472,1
19,20,311,320,296,298,329,343,1145,1485,1165,1145,0.6987173218077533,38.18192345497751,-1.3188166241584354,126.81118318204308,0.9828326180257511,312.71743129767873,319.6844967008168,122303,106.81484716157205,234,1145,0.7184198565984942,6.956047277173752,0.03810162787581794,1.648154749377106,1.0,312.71743129767873,319.6844967008168,122303,106.81484716157205,234,1145,0.7184198565984942,6.956047277173752,0.03810162787581794,1.648154749377106,1.0,312.71743129767873,319.6844967008168,122303,106.81484716157205,234,1145,0.7184198565984942,6.956047277173752,0.03810162787581794,1.648154749377106,1.0,0.995629072189331,1
20,21,82,418,69,403,99,435,651,960,666,651,0.7858456334201704,28.79025779013781,-0.8649180410622432,98.32590180780451,0.9774774774774775,82.38124964123759,417.3024797657999,69684,107.04147465437788,252,651,0.9432555914962619,6.310170799988778,0.3444072249778768,0.8702788528264883,1.0,82.38124964123759,417.3024797657999,69684,107.04147465437788,252,651,0.9432555914962619,6.310170799988778,0.3444072249778768,0.8702788528264883,1.0,82.38124964123759,417.3024797657999,69684,107.04147465437788,252,651,0.9432555914962619,6.310170799988778,0.3444072249778768,0.8702788528264883,1.0,0.9945467710494995,1
21,22,361,455,345,445,376,467,435,682,512,435,0.7573001580584928,23.534213434057992,-0.6043067849212025,93.73401871576775,0.849609375,361.24032205595313,455.3531880286272,61480,141.33333333333334,255,435,0.9996938186911123,5.929831658973685,0.5458531524723425,0.7370224610531942,1.0,361.24032205595313,455.3531880286272,61480,141.33333333333334,255,435,0.9996938186911123,5.929831658973685,0.5458531524723425,0.7370224610531942,1.0,361.24032205595313,455.3531880286272,61480,141.33333333333334,255,435,0.9996938186911123,5.929831658973685,0.5458531524723425,0.7370224610531942,1.0,0.9943988919258118,1
